$GPGGA,174732.639,3732.619,S,12216.464,E,1,04,2.6,100.0,M,-33.9,M,,0000*67
$GPGGA,174733.639,3731.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*57
$GPGGA,174734.639,3729.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*5E
$GPRMC,174735.639,3728.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*44
$GPGGA,174736.639,3726.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*53
$GPRMC,174737.639,3725.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4B
$GPRMC,174738.639,3723.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*45
$GPGGA,174739.639,3722.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*5F
$GPRMC,174740.639,3720.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*49
$GPRMC,174741.639,3719.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*45
$GPRMC,174742.639,3717.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4F
$GPGGA,174743.639,3716.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*55
$GPGGA,174744.639,3714.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*57
$GPRMC,174745.639,3713.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4B
$GPRMC,174746.639,3711.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4D
$GPGGA,174747.639,3710.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*57
$GPGGA,174748.639,3708.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*56
$GPRMC,174749.639,3707.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*42
$GPRMC,174750.639,3705.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4F
$GPRMC,174751.639,3704.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*48
$GPGGA,174752.639,3702.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*57
$GPRMC,174753.639,3701.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4F
$GPGGA,174754.639,3699.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*52
$GPRMC,174755.639,3698.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*48
$GPRMC,174756.639,3696.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*42
$GPRMC,174757.639,3695.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*47
$GPRMC,174758.639,3693.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*49
$GPGGA,174759.639,3692.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*53
$GPGGA,174760.639,3690.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*5C
$GPGGA,174761.639,3689.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*52
$GPGGA,174762.639,3687.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*58
$GPRMC,174763.639,3686.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*42
$GPGGA,174764.639,3684.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*5D
$GPRMC,174765.639,3683.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*41
$GPGGA,174766.639,3681.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*5A
$GPRMC,174767.639,3680.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*40
$GPRMC,174768.639,3678.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*4F
$GPRMC,174769.639,3677.119,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*46
$GPGGA,174770.639,3675.619,S,1.73,E,1,04,2.6,100.0,M,-33.9,M,,0000*56
